issn,nom_clt,nb_numeros,nb_document,pre_année_pub,der_année_pub,discpline,editeur
1957-777,"Géomorphologie : relief, processus, environnement",38.0,548.0,1995.0,2004.0,"géographie, science de l'environnement","CNRS
Groupe français de géomorphologie"
2000-2006,Les Cahiers du Gres,7.0,13.0,2000.0,2006.0,Sociologie,Groupe de Recherche Ethnicité et Société
2546-9002,Karstologia,58.0,1240.0,1983.0,2012.0,"géographie, sciences de l'environnement",Fédération française de Spéléologie et Association française de Karstologie
1923-5291,International Journal of Canadian Studies,10.0,16.0,2007.0,2012.0,Sciences humaines et sociales,Conseil international d’études canadiennes
1775-3856,Seizième Siècle,10.0,190.0,2005.0,2014.0,"arts (histoire de l'art, architecture), littérature",Société Française d'Étude du Seizième Siècle
2425-1941,Nouvelles de l'Archéologie,33.0,1361.0,1979.0,1988.0,Archéologie,Fondation de la Maison des sciences de l'homme
2391-1018,Romania,451.0,8381.0,1872.0,2014.0,"histoire, littérature",Société des amis de la Romania
1958-9557,FLUX Cahiers scientifiques internationaux Réseaux et Territoires,49.0,1036.0,1985.0,2000.0,"géographie, science de l'environnement",Métropolis
2189-1893,Ebisu - Études Japonaises,45.0,536.0,1993.0,2011.0,"anthropologie, arts, études des grandes aires culturelles",Maison franco-japonaise
1912-0362,Revue Gouvernance,27.0,43.0,2004.0,2019.0,"Sciences politiques, Sciences humaines et sociales, Sciences de la gestion",Centre d’études en gouvernance de l’Université d’Ottawa
1708-5268,Études Inuit Studies,26.0,43.0,2002.0,2018.0,Anthropologie et ethnologie,Centre interuniversitaire d’études et de recherches autochtones (CIÉRA)
2613-2699,Exils et migrations ibériques au XXe siècle,11.0,229.0,1992.0,2012.0,"Histoire, Linguistique, Littérature","CERMI (Centre d’études et de recherches sur les migrations ibériques), Mare Nostrum"
1783-1601,L'information grammaticale,141.0,2362.0,1979.0,2013.0,linguistique,Peeters
1960-6176,"1895, revue d'histoire du cinéma",36.0,659.0,1986.0,2000.0,"arts (Histoire de l'art, Architecture), histoire",Association française de recherche sur l'histoire du cinéma
1777-5914,Sciences Sociales et Santé,105.0,1067.0,1982.0,2010.0,"économie, science politique, sociologie",John Libbey Eurotext
2272-9968,Les Dossiers des Sciences de l’Éducation,20.0,206.0,1999.0,2008.0,sciences de l'éducation,Presses Universitaires du Midi
2263-5947,Repères. Recherches en didactique du français langue maternelle,121.0,1497.0,1969.0,2007.0,"linguistique, littérature, science de l'éducation","ENS Éditions, Institut Français de l'Éducation"
2647-7270,Cahiers slaves,13.0,294.0,1997.0,2016.0,étude des grandes aires culturelles,Université Paris-Sorbonne
2077-0820,Annales d'Éthiopie,31.0,627.0,1955.0,2016.0,"archéologie (mondes anciens), étude des grandes aires culturelles, histoire",Éditions De Boccard
1957-701,Paléorient,81.0,1407.0,1973.0,2017.0,"archéologie (mondes anciens), études des grandes aires culturelles, histoire",CNRS Éditions
2391-1387,Cahiers Saint-Simon,44.0,924.0,1973.0,2016.0,"littérature, histoire",Société Saint-Simon
1703-8804,Laval théologique et philosophique,198.0,273.0,1945.0,2019.0,"Philosophie, Théologie","Faculté de philosophie, Université Laval"
2268-1590,Genesis (Manuscrits-Recherche-Invention),29.0,463.0,1992.0,2008.0,littérature,"Institut des Textes et Manuscrits Modernes (ITEM, CNRS-ENS), Presses de l’Université Paris-Sorbonne (PUPS)"
2117-5624,Cahiers du Centre Gustave Glotz,23.0,430.0,1991.0,2013.0,"archéologie (mondes anciens), études classiques, histoire",Anthropologie et Histoire des Mondes Antiques (ANHIMA)
1960-6664,Recherches en anthropologie au Portugal,10.0,272.0,1989.0,2004.0,anthropologie,Gap-MSH Paris
1712-6274,Journal of the Canadian Historical Association,41.0,70.0,1990.0,2018.0,Histoire,The Canadian Historical Association / La Société historique du Canada
1775-3732,Revue Archéologique de l'Ouest,21.0,486.0,1984.0,2005.0,archéologie (mondes anciens),Presses Universitaires de Rennes
,,,,,,,
2241-0104,Bulletin de Correspondance Hellénique,199,5047,1877,2014,"archéologie (mondes anciens), études classiques, histoire",École française d'Athènes
2496-7114,Topoi. Orient-Occident,46,1359,1991,2015,"archéologie (mondes anciens), études classiques, histoire",Société des Amis de la bibliothèque Salomon-Reinach
2647-7556,Gazette du livre médiéval,61,1066,1982,2017,"archéologie, histoire",Association des Amis de la Gazette du livre médiéval
2005-2017,Intersections,23,36,2005,2017,Arts,Canadian University Music Society / Société de musique des universités canadiennes
1918-7475,Nouvelles perspectives en sciences sociales,28,43,2005,2019,Sciences humaines et sociales,Prise de parole
2109-9642,Gallia Préhistoire,116,956,1958,2014,"archéologie (mondes anciens), arts (histoire de l'art, architecture), histoire",CNRS Éditions
2109-9588,Gallia,104,1497,1943,2009,"archéologie (mondes anciens), arts (histoire de l'art, architecture), histoire",CNRS Éditions
2117-5683,Revue archéologique de Narbonnaise,49,886,1968,2016,archéologie (mondes anciens),Presses universitaires de la Méditerrannée
2117-6973,Archaeonautica,18,219,1977,2014,"archéologie (mondes anciens), études classiques, histoire",CNRS Éditions
1977-2007,Géographie physique et Quaternaire,87,118,1977,2007,"Géographie, Sciences de la terre",Les Presses de l'Université de Montréal
1708-2307,Protée,38,52,1998,2011,"Arts, Études littéraires",Département des arts et lettres - Université du Québec à Chicoutimi
2419-1949,Mémoires présentés par divers savants étrangers à l’Académie,34,158,1844,1975,"archéologie, études classiques, histoire",Académie des Inscriptions et Belles-Lettres
2173-1306,Mélanges de la Casa de Velázquez,45,839,1965,1996,"arts (histoire de l'art, architecture), études des grandes aires culturelles, histoire",Éditions de la Casa de Velázquez
