num_doc,title,annee_publication,issn
3504,Les caisses de dépôts russes : XVIIIe - XIXe siècles,1991,1777-5744
3505,"Lecture d’une lettre de M. de Bouillé, lors de la séance du 30 juin 1791",1791,
3506,Lecture d’une lettre de M. de Bouillé,1887,
3507,La literatura cubana actual en los Estados Unidos,2010,2427-9048
3508,La « Condamnation de Banquet » (XVe-XVIe s.),1987,1775-3864
3509,Les études françaises au Canada anglophone,2006,2076-8443
3510,Meillet : langue et parole,1988,1638-1580
3511,Enquête : Comment concevez-vous un humanisme actuel ?,1971,
3512,Sur le devoir d'incroyance,1969,
3513,Discours de M. Raymond Poincaré au Congrès des Jeunesses laïques,1911,
3514,"17. Le représentant Dubois-Crancé fait une motion d’ordre et lit un discours sur les difficultés à rétablir le bon ordre, le commerce, l’industrie et propose un projet de décret. La Convention en ordonne l’impression et l’ajournement",1993,
3515,Chronique de l'enseignement primaire en France,1905,
3516,Conclusions et propositions pour que l'étude des textes puisse se faire aussi sur Internet,1999,
3517,L'impact des nouvelles technologies de la communication et de l'information sur l'organisation spatiale des entreprises,1994,2431-210
3518,"Inédit, Pierre George, 1996 : Questions de géographie ou questions à la géographie ?",2008,1708-8968
3519,"Posologie d’une lecture. Benoît Dubreuil et Guillaume Marois, Le remède imaginaire. Pourquoi l’immigration ne sauvera pas le Québec, Montréal, Boréal, 2011, 315 p.",2012,1705-6225
3520,Introduction : entre idéal canadien et attraction étatsunienne ,2011,1923-5291
3521,"Gevers (Lieve) & Bank (Jan), eds., Religion under Siege (1939-1950)",2009,2295-9068
3522,Du Front Populaire à la Collaboration,1998,2261-4427
3523,Les écrivains et la notion de décadence de 1870 à 1914,1983,1957-7958
3524,Le thème de l'immigration entre à l'université,1995,2262-3353
3525,"La « claustrophobie Alpine » et la littérature de voyage (Charles-Albert Cingria, Blaise Cendrars, Nicolas Bouvier)",2001,2076-8443
3526,"Travail, famille, maison : formes et raisons du placement dans les sociétés traditionnelles",1996,1777-5892
3527,Notes bibliographiques,1974,1958-5926
3528,"Indépendance, semi-dépendance, dépendance",1988,2259-6100
3529,Budeit (Hans Joachim) & Lerch (Wolfgang Günter). Dokumentation Joachim Willeitner.,2003,2295-9068
3530,"Storia di una montagna, d'E. Reclus, 2008",2009,2297-5810
3531,"La ""City"" de Vienne : Elizabeth Lichtenberger, ""Die Wiener City. Bauplan und Jüngste Entwicklungstendenzen"", Mitteilungen der Osterreichischen geographischen Gesellschaft",1973,1777-5884
3532,Considérations rétrospectives,1994,
3533,"A. R. Zolberg, A. Suhrke, S. Aguayo : Escape from violence. Conflict and the refugee crisis in the developing world",1991,1950-6686
3534,Pêne (D.) — La dynamique de la retraite. Une menace pour l'Europe,1997,1957-7966
3535,Un groupe de Sibylles champenoises,1969,2275-5039
3536,Poétesses yiddish américaines,1998,1960-6648
3537,Le système des expulsions en Allemagne,1995,2111-4412
3538,Les héritiers du Capital,1984,1955-2564
3539,"Cimarrôn-Maroon-Marron, note épistémologique",2006,2275-4954
3540,Résumés,1997,1760-7388
3541,Les difficultés du système monétaire international et du dollar canadien,1968,1710-3991
3542,La Révolution de 1848 et la Russie,1904,1777-5329
3543,"Jean-Pierre Cot et al. Répertoire de la recherche sur le désarmement
Daniel Frei, assisté par Christian Catrina. Risks of Unintentional Nuclear War",1982,1958-8992
3544,XVI. — Traités et études d'ensemble,1896,1955-2580
3545,Excess male mortality in Eastern Europe; a spatial perspective,1990,2104-3752
3546,"Fécondité, bouleversements politiques et transition vers l'économie de marché en Europe de l'Est",1998,2104-3752
3547,"Les détroits au regard des flux : Zone de transit, zone de carrefour, zone d'intégration ?",2002,2547-5614
3548,"Perrot, Claude-Hélène & Van dantzig, Albert. - Marie-Joseph Bonnat et les Ashanti. Journal (1869-1874)",1997,1777-5353
3549,Conférences,1992,2264-7791
3550,Introduction,1999,1777-5906
3551,Brünner (E.R.J.). De Bagdadspoorweg. Bijdrage tot de kennis omtrent het optreden der mogendheden in Turkije (1888-1908).,1958,2295-9068
3552,Tables 1969,1969,1958-5691
3553,La scolarisation dans le département du Pas-de-Calais au XIXe siècle,1970,2271-7005
3554,"Benjamin Farrington, The Philosophy of Francis Bacon",1966,1969-6582
3555,1048e séance. — 7 Décembre 1911,1911,1777-5469
3556,290e séance. — 4 juin 1874.,1874,1777-5469
3557,Localisations cérébrales sur le cerveau d'un cul-de-jatte.,1880,1777-5469
3558,A propos de la réforme de l'enseignement. A quoi sert l'Histoire?,1938,1953-8138
3559,Lettres et pensées,1986,2262-0753
3560,La géographie et les sixièmes nouvelles,1946,1777-5876
3561,Cours libres,1905,
3562,Picabia et le cacodylate de soude,2003,1775-3864
3563,"Maurice Simon, Cathéchèse «existentielle» ou catéchèse «culturelle» ? A propos du cours de religion catholique dans l'enseignement secondaire en Belgique francophone. 1984",1985,1783-8401
3564,Du latin pour quoi faire ? (bis),1996,1783-1830
3565,"Dorigny Marcel (dir.), Léger-Félicité Sonthonax La première abolition de V esclavage La Révolution française et la Révolution de Saint-Domingue",2007,2275-4954
3566,Partie administrative,1961,2613-2958
3567,"Studies in Managerial Process and Organizational Behavior, by John H. Turner, Allan C. Filley and Robert J. House, Illinois, Scott, Foresman and Company, 1972, 490 pp.",1973,1703-8138
3568,"John Leslie, Infinite Minds, Oxford, Oxford University Press, 2001, 234 pages.",2003,1492-1391
3569,"Kuptsch, Christiane (dir.), Merchants of Labour, Geneva, ilo, International Institute for Labour Studies, 2006, 259 p.",2007,1703-7891
3570,"Les paradigmes du plaisir et ses avatars, Études littéraires, 1995",1996,2273-0311
3571,"Méthodologie vers une science de l’action, R. Coude et A. Molès, Entreprise Moderne d’Édition, Paris, 1964, 456 pages.",1965,1703-8138
3572,"Denis FEENEY, Literature and Religion at Rome. Cultures, Contexts, and Beliefs.",2000,2295-9076
3573,"Camproux (Charles), Étude syntaxique des parlers gévaudanais (Publications de la Faculté des Lettres de Montpellier, P.U.F. 1958)",1960,2496-7068
3574,"Edouard Harlé. Livre de famille : recueil de documents. Deuxième partie ; tomes I et II ; troisième partie. Bordeaux, imp. Wetterwald frères ; 1915, 1919 et 1914",1919,2496-7068
3575,"Les glaciers, causes de leurs propres oscillations ?",1954,1960-601
3576,Une école de cadets prussienne (Journal des Débats du 15 août 1884),0,
3577,Belgique et Suisse romande,1912,
3578,L'apprentissage chez les invertébrés.,1969,1955-2580
3579,Jean Hus et le communisme chrétien de Bohême,1969,2273-0311
3580,"Abdallah Laroui, Maxime Rodinson (Préf.), L'Idéologie arabe contemporaine : essai critique, François Maspéro, 1967",1967,2101-0226
3581,Alexandre le Grand,1932,1777-5884
3582,Revues,1987,1958-8992
3583,Esclaves fugitifs et assurances en Catalogne (XIVe-XVe siècles),1950,2496-7068
3584,L’éclat baroque à l’épreuve de l’entendement. Logique et poésie spirituelle à la fin du XVIe siècle : les figures d’analogie,2008,2417-6516
3585,Conscience de soi et langage intérieur : quelques spéculations,1990,1492-1391
3586,La campagne présidentielle irlandaise de 1997 : féminisme et nationalisme revisités,1999,2259-8863
3587,Un aperçu de psychologie comparée,1895,1955-2580
3588,L'industrie chinoise face au défi technologique,2004,1996-4609
3589,Les Emotions de Polydore Marasquin (extraits),1973,2273-0311
3590,Interview de Lee Teng-hui,1994,1996-4609
3591,L'Angleterre «fauteur de crise». L'opinion vis-à-vis de la Grande-Bretagne en Haute-Normandie (1787-1793),1983,
3592,"Rapport sur le prix Godard, année 1879.",1879,1777-5469
3593,De quoi mourir en beauté ? (Québec),1987,1492-1405
3594,"Les Goncourt dans le souvenir de la Presse à Rome, Florence, Bergame, Turin",1995,2497-6784
3595,Bernard Grunberg L 'Inquisition apostolique au Mexique. Histoire d'une institution et de son impact dans une société coloniale (1521-1571),2002,1953-8146
3596,Cyberculture (Pierre Levy),1998,1777-5809
3597,"Un Français en Virginie. Voyages d'un François exilé pour la religion avec une description de la Virgine et Marilan dans l'Amérique, publié d'après l'édition originale de 1687 avec une introduction et des notes par Ghinard (Gilbert)",1935,2295-9068
3598,"The Vita Sancti Malchi of Reginald of Canterbury, a critical edition, with Introduction, Apparatus criticus, Notes, and Indices, by Levi Robert Lind, 1942",1948,2259-0285
3599,Éditorial. Entre chien et loup,1990,2261-1010
3600,12. Les sociétés populaires de a) Tullins (Isère) et b) de Florensac (Hérault) félicitent la Convention sur ses glorieux travaux et l’invitent à rester à son poste,1990,
3601,27. Les membres de l’administration du département de Seine-et-Oise font part de la souscription qu’ils ont ouverte pour la construction d’un vaisseau de ligne,1990,
3602,"Warren-Candler Seoville, The persecution of Huguenots and French economic Development (1680-1720). Berkeley, Los Angeles, University of California Press, 1960",1961,
3603,"Les Pays-Bas et le partage de l'Afrique noire: à propos de la Conférence de Berlin, 1884-1885",1981,
3604,Rapport par M. Barrère de Vieuzac et décret sur la restitution des biens des religionnaires fugitifs,1885,
3605,Sécurité sociale et défis démographiques dans une perspective européenne,2011,2490-7944
3606,Les tentatives pour organiser une communauté agricole européenne entre 1947 et 1955,1981,2105-2581
3607,"Liquidité, incertitude et crise",2008,1777-5744
3608,Mobilité internationale des facteurs de production en situation de chômage et de libre-échange,1998,1710-3991
3609,Migrations internationales et développement : les nouveaux paradigmes,1996,1777-5418
3610,Notes et actualités,1948,2437-2226
3611,Le Professeur Henri-Victor Vallois et la paléontologie humaine,1982,1777-5469
3612,"Innovation, intégration et développement régional",2001,1710-3991
3613,Vidéogramme einer Revolution : le dispositif farockien retourné,2006,2551-3761
3614,Un Arabe ministre à Byzance : Samonas (IX-Xe siècle),1935,2261-060
3615,La Convention européenne des Droits de l'Homme et la justice française en 1992,1992,1969-6973
3616,III - La négociation sociale,1991,2119-4831
3617,Bioéthique et droit international,2000,2105-2948
3618,Revue bibliographique régionale,1963,1951-6207
3619,La preuve par l'Est,1987,2513-6119
3620,La première œuvre de Jules Michelet,1898,
3621,En relisant Pierre George,1992,1776-2936
3622,Académie des Inscriptions et Belles-Lettres,1911,1775-383
3623,"Jean-Noël Biraben, Les hommes et la peste en France et dans les pays européens et méditerranéens. Paris, Thèse de Doctorat Ès-Lettres, 1975.",1976,1776-2774
3624,"Hommes et Migrations, n°1223, Janvier-février 2000. Regards croisés France-Allemagne.",2000,2262-3353
3625,Le cas de la Grèce,1968,2275-5195
3626,"25. Πουχνερ (Βάλτερ)Ἡ πρόσληψη τῆς γαλλικῆς δραματουργίας στὸ νεοελληνικὸ Θέατρο (17ος-20ος αιώνας). Μιὰ πρώτη σφαιρική προσέγγιση - Puchner (Walter), La réception de la dramaturgie française dans le théâtre grec moderne (XVIIe-XXe siècle). Une première approche globale",2001,2260-8079
3627,Victor Davis Hanson : Carnage et culture. Les grandes batailles qui ont fait l'Occident,2003,1960-6656
3628,La collection Lieb à la bibliothèque de l'Université de Bâle,1999,1777-5388
3629,Pour un développement qualitatif,1987,2513-6119
3630,"Bernard Sheehan, Savagism and Civility : Indians and English in Colonial Virginia",1982,1953-8146
3631,"Une bourgade de l'Argonne : Varennes (M. Pirenne, Ch. Aimond)",1930,1953-8146
3632,"Christian Lefevre, Jean-Marc Offner : Les transports urbains en question",1990,2119-4831
3633,Séance du 9 février 1894,1894,2297-5810
3634,Histoire du Premier Empire,1987,
3635,"«Bible et liturgie dans les Églises d'Afrique» : Journée d'étude Omnes Gentes (Bruxelles, 16 décembre 2006)",2007,1783-8401
3636,"Karnoouh Claude, Vivre et survivre en Roumanie communiste : rites et discours versifiés chez les paysans du Maramureş",1999,2117-718
3637,"Jean Audouard. Un drame passionnel à la fin du XVIIIe siècle. Le crime du marquis d'Entrecasteaux président mortier au Parlement de Provence (1784), d'après les archives du Parlement de Provence et des documents inédits. Paris, Henri Daragon.",1910,1953-8138
3638,Hugh Ragsdale (dir.). Imperial Russian Foreign Policy,1995,1958-8992
3639,"Paul Mingret, La croissance industrielle du port d'Anvers, 1976",1978,2547-5614
3640,Périodiques,1917,1777-5329
3641,"René Bonnell, La vingt-cinquième image. Une économie de l'audiovisuel, 1989",1990,1777-5701
3642,Pour une histoire de la relation entre artiste et client. Alain Boublil : Le Pouvoir de l'Art,1992,2111-4528
3643,"Utopie, idéologie, prophétie",1996,2261-1010
3644,"Mesnager, député du commerce de Rouen à la fin du règne de Louis XIV : C.-F. Lévy, Capitalistes et pouvoir au Siècle des Lumières. Des origines à 1715",1972,2261-4427
3645,Fall (Babacar) : Le Travail forcé en Afrique occidentale française (1900-1946),1994,2275-4954
3646,Tisser sa vie,1994,2613-2702
3647,Conclusion générale,1990,1760-8546
3648,"Paolo Marangon, Il Risorgimento della Chiesa. Genesi e ricezione delle « Cinque Piaghe » di A. Rosmini, Roma, Herder, 2000 (Italia Sacra. Studi e documenti di storia ecclesiastica, 63)",2002,
3649,"Manfred Oeming : Gesamtbiblische Theologien der Gegenwart. Das Verhältnis von AT und NT in der hermeneutischen Diskussion seit Gerhard von Rad, 1985",1986,
3650,Histoire des relations diplomatiques en Europe aux XVIIe et XVIIIe siècles,1982,
3651,"Sainte Foy, vierge et martyre, par MM.A. Bouillet et L.Servieres",1902,1953-8138
3652,"CHAUNU, Pierre, Séville et l’Atlantique (1504-1650). Partie interprétative. 3 vols. CXXV-1212-2050 pp. Collection Ports, Routes, Trafics, S.E.V. P.E.N., Paris, 1959.",1960,1492-1383
3653,A la recherche du temps perdu. La science politique française oublieuse de l'administration publique. A propos de Notre Etat,2002,1953-8286
3654,L’imaginaire de la grande noirceur et de la révolution tranquille : fictions identitaires et jeux de mémoire au Québec,2005,1705-6225
3655,"L'Occident, la France et le Monde Arabe",1991,2262-3353
3656,Séance extraordinaire du 19 janvier 1894,1894,2297-5810
3657,"Espace, populations, sociétés, 1994-2. Les populations du Pacifique - Populations of the Pacific.",1994,2104-3752
3658,L’organisation des relations intellectuelles de la France et de la Serbie,1919,
3659,Conjoncture et structures monétaires internationales en Europe à la fin des années trente. Dislocation et convergences,2000,1950-6694
3660,Avant-propos,2009,
3661,"Une « cité autant belle, riche, que j’en aye jamais vue » : la pérégrination urbaine de Ludovico Varthema (1503-1508) dans les Indes Orientales",2013,1775-3856
3662,L'initiation d'un ashamur,1990,2105-2271
3663,George Berkeley et Jonathan Swift,1987,2259-8863
3664,Laforgue fumiste : Salomé Floupené,1989,1957-7958
3665,Pour une théorie de la géographie régionale,1972,2613-2737
3666,La poétisation du mot chez Victor Hugo.,1967,2076-8443
3667,Éthique professionnelle et raison productive : chronique d'une relation entre une maison-mère (française) et sa filiale (brésilienne),1992,1777-5701
3668,Une société menacée par la crise,1994,1996-4609
3669,De l'aveu au témoignage : le discours psychiatrique dans Voyage au bout de la nuit,1996,1958-5926
3670,La REMI en question : bilan d'un parcours editorial,1996,1777-5418
3671,"De Gaulle, l'Amérique et l'alliance atlantique. Une relecture de la crise de 1966",1994,1950-6678
3672,Art byzantin du Haut Moyen Âge en Cappadoce : l'église n°3 de Mavrucan,1972,1775-383
3673,Rapport moral pour l'année 1954,1954,1777-5469
3674,Poésie et sociologie des « Révélations »,1970,1777-5825
3675,"Anatole France, moraliste",1898,1783-1768
3676,La stratégie publicitaire,1962,1778-7459
3677,Détermination de la politique des salaires dans l'entreprise privée,1964,1703-8138
3678,"Thobie, Jacques. Ali et les 40 voleurs : Impérialismes et Moyen-Orient de 1914 à nos jours. Paris, Éditions Messidor, Coll. « La passion de l’histoire », 1985, 372 p. Guecioueur, Adda (Ed.) The Problems of Arab Economic Development and Integration. Boulder (Col.), Westview Press, Coll. « Westview Special Studies on the Middle East », 1983, 239 p.",1986,1703-7891
3679,Précis de Sens et sensibilité. L’intentionalité en contexte,2010,1492-1391
3680,"Dan Sperber, La Contagion des idées. Théories naturalistes de la culture, Paris, Éditions Odile Jacob, 1996, 244 pages.",1996,1920-2954
3681,Contribution à l'étude des Silex taillés ayant servi d'Outils agricoles,1918,1760-7361
3682,"Handbook of Medical Sociology, Howard E. Freeman, Sol Levine, Leo G. Reeder, Prentice-Hall Inc., Englewood Cliffs, New Jersey, 1965, 602 pages.",1965,1703-8138
3683,Sur le fonctionnalisme neumannien,1995,
3684,René Dussaud. Introduction à l'histoire des religions,1914,1775-383
3685,"Michael A. Morris et Victor Millan (ed.). Controlling Latin American Conflicts
Wayne A. Selcher (ed.). Brazil in the International System. The Rise of Middle Power
Michael A. Morris. International Politics and the Sea. The Case of Brazil
Carlos de Meira Mattos. A geopolitica e as projecoes do poder
Paulo Schilling. El expansionismo brasileno
Osiris G. Villegas. El conflicto con Chile en la region austral
Alberto E. Asseff. Progeccion continental de la Argentina
Carlos J. Moneta et al. Geopolitica y politica del poder en el Atlantico Sur
F. A. Millia et al. La Atlantartida. Un espacio geopolitico",1984,1958-8992
3686,"Quelle place pour les étudiants étrangers ? Le point de vue du groupe de travail ""Demain, l'Université""",1988,2262-3353
3687,"Die Schule der Zukunft, Vorträge von Fulda, Hellmers, Ostwald, Bölsche, Petzoldt, Wyneken, Tews, Klaar,... Buchverlag der Hilfe, Berlin-Schöneberg, 1912",0,
3688,La réforme de l'agrégation des lettres et de l'agrégation de grammaire,1904,
3689,Sur la nécessité de méthodes rationnelles en matière d’enseignement supérieur technique,1938,
3690,"Pierre Lamy, Le Problème de la Destinée, Paris, Presses universitaires, 1947",1947,
3691,"Henri Bremond, Maurice Blondel, Correspondance, établie, présentée et annotée par André Blanchet, t. III, Combats pour la prière et la poésie (1921-1933), Paris, Aubier-Montaigne, 1971",1972,
3692,Causerie littéraire,1891,
3693,Les minorités ethniques en Europe. Quelques problématiques spatiales (Ethnic minorities in Europe. Some spatial problems),1989,2275-5195
3694,"La Suisse et ses relations avec Lyon, la France et l'Europe (Switzerland and its relationships with Lyon, France and Europe)",1999,2275-5195
3695,I. Les dynamiques des frontières en Europe (The dynamics of borders in Europe). Séance organisée le 8 décembre 2001 à l'Université de Metz,2003,2275-5195
3696,Europe orientale. Voisinage partagé ou arc de crise ? (Eastern Europe ; shared neighborhood or arc of crisis ?),2012,2275-5195
3697,"Blanc (A.), Drain (M.), Kayser (В.). — L'Europe méditerranéenne. Constant (S.-C), Ritter (J.), Laigroz (J.). — L'Europe du Charbon et de l'Acier.",1969,1760-7426
3698,Nesti (Arnaldo) éd Church and Modernity in Western Europe. Les Eglises et la modernité en Europe occidentale,1989,1777-5825
3699,L'Europe dans l'œuvre de Maurice Le Lannou / The theme of Europe in the works of Maurice Le Lannou,1993,1960-601
3700,"Géographie humaine de l'Europe occidentale : H. Clout, M. Blacksell, R. King, D. Pinder, Western Europe, Geographical Perspectives",1986,1777-5884
3701,"Une carte des types d'agriculture en Europe : The Types of Agriculture Map of Europe, edited by J. Kostrowicki",1986,1777-5884
3702,"Deux cartes de l'Europe du Nord-Ouest : Conférence des régions de l'Europe du nord-ouest, Cartes de la densité et de l'évolution de la population",1971,1777-5884
3703,"Kaiser, Karl et Lellouche, Pierre. Le couple franco-allemand et la défense de l’Europe. Paris, IFRI, Coll. « L’Europe et sa défense », vol. 1, 1986, 360 p.",1988,1703-7891
3704,"Régionalisme et régions –Europe : Contrôler l’Europe. Pouvoirs et responsabilité dans l’Union européenne.Magnette, Paul. Bruxelles, Éditions de l’Université de Bruxelles, 2003, 175 p.",2004,1703-7891
3705,"Régionalisme et régions - Europe : Europe Recast. A History of European Union. Dinan, Desmond. Boulder, Lynne Rienner Publishers, 2004, 373 p.",2005,1703-7891
3706,"Régionalisme et régions - Europe : La grande Europe. Magnette, Paul (dir.). Coll. Études européennes, Bruxelles, Éditions de l'Université de Bruxelles, 2004, 403 p.",2005,1703-7891
3707,"Barker (Graeme) . -Prehistoric Farming in Europe, 1985
Whittle (Alasdair). -Neolithic Europe : a survey, 1985",1986,2425-1941
3708,P. Laderrière – La gestion des ressources humaines dans l’enseignement : où en est l’Europe ? Les nouveaux métiers de l’enseignement : où en est l’Europe ?,2005,2105-2913
3709,"Espaces et Régions en Europe occidentale (structures et dimensions des régions en Europe occidentale), dir. par E. Juillard et H. Nonn",1978,1777-5884
3710,"Margaret Deanesly, History of medieval and modern Europe, t. I: A history of early medieval Europe",1958,1953-8146
3711,"État de l'urbanisation en Europe : P. Cheshire et D. Hay, Urban Problems in Western Europe, an Economic Analysis",1990,1777-5884
3712,Conférence inaugurale : grandes lames de l’Europe néolithique et alentour / Large blades from Neolithic Europe and abroad,2012,
3713,"L’Europe, déjà, à la fin des temps préhistoriques. Des grandes lames en silex dans toute l'Europe. Actes de la table-ronde internationale, Tours, Septembre 2007",2012,
3714,"Bulletin de la Société d'anthropologie de Lyon, tome 3/2, 1884.",1884,2613-2958
3715,"Le sous-développement, analyses ou représentations",1974,1963-1359
3716,Le renouveau du souci éducatif en Bolivie au début du XXème Siècle : la Polémique Tamayo / Guzmán (1910),1998,2427-9048
3717,En marge des incursions vikings,1991,2108-6443
3718,L'anatomie entre art et science au XVIe siècle : autopsie d'un regard,2001,1778-7459
3719,Séance publique de l'Académie des Inscriptions et Belles-Lettres [18 août 1854].,1855,1953-8138
3720,Le dysfonctionnement du système acier,1979,1773-0198
3721,"La carrière franco-canadienne de Loïc Le Gouriadec, homme de théâtre",1978,2108-6443
3722,De serviteurs de l'État à représentants élus: les parlementaires originaires du secteur public en Europe.,2004,1960-6656
3723,Les Jeux Olympiques d'hiver : enjeux et perspectives. Grenoble 1968 - Nagano 1998,1999,1760-7426
3724,L'anthropogénétique d'aujourd'hui : problèmes et perspectives.,1983,1777-5469
3725,‘Illyrians’ in ancient ethnographic discourse,2014,1955-270
3726,La cartographie statistique de la population au XIXe siècle,1991,2104-3752
3727,Modèles d'intégration spatiale et réseau des villes en Europe occidentale,1998,1776-2936
3728,Opposition centre-périphérie et vote d'extrême droite en Europe.,1987,2104-3752
3729,Culture britannique et culture européenne : éléments d'une évolution politico-juridique,1998,1969-6973
3730,Les enjeux industriels et territoriaux des mutations de l'industrie automobile en Europe de l'Est,1993,2547-5614
3731,Le réseau des villes de dimension européenne,1993,2547-5614
3732,Le détroit de Gibraltar : environnement océanique et liaisons fixes Europe-Afrique,2002,2547-5614
3733,Partir en Erasmus : et après ? Parcours d’insertion professionnelle comparés de diplômés Erasmus,2013,2118-724
3734,Regional socio-economic change in Western Europe since 1930,1985,1776-2936
3735,Une nouvelle typologie économique des régions européennes,2000,1776-2936
3736,"Morphométrie et hypersalinité chez Cyprideis torosa (Jones) (Ostracoda, Actuel) dans les salines de Santa-Pola (Alicante, Espagne)",1983,2613-277
3737,"Provenience, technology, morphology and the use of proto-solutrean and solutrean points from Vale Boi (Algarve, southern portugal) : preliminary results / Provenance, technologie, morphologie et utilisation des pointes du proto-solutréen et du solutréen du site de Vale Boi (Algarve, Portugal méridional) : résultats préliminaires",2013,
3738,Johann de Piano Carpini. Geschichte der Mongolen und Reisebericht traduit par Mr Friedrich Risch,1931,1953-8146
3739,Résumés des articles/abstracts,1979,1950-6694
3740,«Entretien avec E. Elçibey»,2000,1777-5396
3741,Document,2000,1777-5396
3742,La difficile réconciliation tchéco-allemande,2001,1958-8992
3743,Formes sociales et structures objectives : une façon de dépasser l'opposition objectivisme/subjectivisme,1992,2101-0226
3744,Déterminants de migrations des savants et des ingénieurs,1970,1492-1375
3745,Livres reçus,2002,1953-8146
3746,III. — Ouvrages reçus,1988,1957-7966
3747,La diffusion des modèles agricoles : essai d'interprétation des agricultures de l'est et du sud de l'Europe,1992,2273-0257
3748,Perspective historique sur la guerre et la ville en Afrique de l'Ouest : Le cas du Nigeria,2001,2497-7098
3749,La transition démographique en Pologne du passage du socialisme à la démocratie,1991,2547-5614
3750,Une deuxième « nouvelle immigration » aux Etats-Unis,1988,1760-8546
3751,Brevets,2004,1777-5574
3752,Incidence de l’impôt sur les sociétés,2010,1760-7388
3753,"L'ouverture des chantiers du canal du Rhône, première phase de la transformation de la vie économique et sociale dans la plaine de Pierrelatte-Bollène",1948,1960-601
3754,Trésor public et fortunes privées dans l'Empire Ottoman (milieu XVIe-début XXe siècle),1981,1773-0201
3755,"Formes du discours, structure du journal : l'exemple de La Gazette de Paris",1996,1952-403
3756,Introduction,1989,1950-6694
3757,« Démocratie représentative » ou « république démocratique » : de la querelle des mots (république) à la querelle des anciens et des modernes,2001,1952-403
3758,Editorial,1986,1777-5418
3759,"J. K. Campbell, Honour, family and patronage. A study of institution and moral values in a greek mountain community
G.B. Kavadias, Pasteurs-nomades méditerranéens, les Saracatsans de Grèce",1966,1760-8538
3760,"Marcelin Defourneaux. — Pablo de Olavide ou l' Afrancesado (1725-1803), 1959",1961,1776-3045
3761,Les papyrus d'Oxyrynchus,1916,1775-383
3762,Rosaire de la prose,1983,
3763,L'écriture dramatique aujourd'hui : les auteurs dans leur environnement,2006,2117-718
3764,"Revue de géographie alpine, tome 93, n°2, 2005. Futurs alpins.",2005,1760-7426
3765,La violation de la neutralité belge en 1914. Réflexions nouvelles,1963,2295-9068
3766,Anatomie d'un fiasco,1990,2259-6100
3767,L’instruction morale et civique aux États-Unis et en Angleterre,1903,
3768,L’idée de patrie,1910,
3769,La nature de la société,1974,2102-5924
3770,Antigone le Borgne. Les débuts de sa carrière et les problèmes de l'assemblée macédonienne,1973,
3771,"Horizons Maghrébins - Le droit à la mémoire, N°20-21, 1993. Élites maghrébines de France. Politiques, associatives, religieuses, scientifiques, artistiques.",1993,2613-2702
3772,"Les villes picardes, citadelles du catholicisme.",1996,2271-7005
3773,Les Images de la nature dans « l’Immoraliste »,1969,1708-9069
3774,Les derniers Montagnards et l'unité révolutionnaire,1977,1952-403
3775,Ouvrages en français sur le monde russe parus de mars à septembre 2005,2005,2496-7467
3776,"Horizons Maghrébins - Le droit à la mémoire, N°7-8, 1986. Islamologie.",1986,2613-2702
3777,L'Est aveuglant,1990,2101-0226
3778,L'ouverture des pays d'Europe centrale et orientale a bénéficié à l'Union européenne,1994,1777-5574
3779,Personnes déplacées et demandeurs d'asile de l'ex-Yougoslavie,1996,2262-3353
3780,"Paolo Napoli, Naissance de la police moderne. Pouvoirs, normes, société",2008,1952-403
3781,"Sur l'histoire récente du Portugal :
Christian Rudel, La Liberté couleur d'oeillet. Histoire du XXe siècle portugais
International Labour Office, Employment and basic needs in Portugal",1981,2273-0257
3782,Heidegger et l'énigme de l'être. Coordonné par Jean-François Mattei,2005,1783-1768
3783,Le nom de l'Ardenne et le sanglier,1987,2647-8463
3784,"Le Correspondant, 1910",1911,1776-3045
3785,"Peter Augustine Lawler, The restless mind",1996,1950-6686
3786,"Pierre Flobert, La vie ancienne de Saint Samson de Dol",1999,1783-1830
3787,"U. Blaurock (sous dir.), Recht der Unternehmen in Europa",1994,1953-8111
3788,"Recueils de la Société Jean Bodin pour Vhistoire comparative des institutions, t. XIV et XV : La Paix",1965,1953-8111
3789,"Robert Sencourt : Napoléon III. Un Précurseur, traduit de l'anglais par Luce Clarence, 1935",1935,1777-5329
3790,Yves Laulan. La triche,1981,1958-8992
3791,Le problème du XXe siècle,1950,1953-8146
3792,"Anna Benvenuti Papi. — « In Castro poenitentiae ». Santità e società femminile nell'Italia medievale. Rome, Herder, 1990 ("" Italia sacra "", 45)",1995,2119-1026
3793,François Jean (dir.). Populations en danger,1992,1958-8992
3794,Chaumette porte-parole des sans-culottes,1994,1952-403
3795,"Daniel Schonpflug, Der Weg in die Terreur. Radikalisierungund Konflikte im Strafiburger Jakobinerclub (1790-1795)",2005,1952-403
3796,Entretien avec Milovan Djilas,1995,2111-4412
3797,Le plat pays et les enfants d'Hitler,1988,
3798,"Justice, Paix et Sauvegarde de la Création : un processus «conciliaire»",1989,
3799,Medical Modernization: A Macro Level Conceptualization of Medical Care Programs,1979,1703-9665
3800,« Faire son chevet au pied du lit des Rois » : aspects de la réception de Commynes dans l’oeuvre d’Agrippa d’Aubigné,2013,2417-6516
3801,"Peuple québécois, langue québécoise",1982,1703-7921
3802,Anciens crânes des types ligure et celtique,1865,1777-5469
3803,L'image de la France dans la littérature maghrébine de langue française,1987,2262-3353
